Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
Step Up,182243717909,America/Los_Angeles,Android Fast Track Masterclass,Android Interview Prep Fast Track Program,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sanjana
EdgeUp Step Up,189637625425,America/Chicago,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
EdgeUp,209021834131,America/Chicago,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-May 2026,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Nishtha
Step Up,211524588124,America/Chicago,Backend Interview Prep Fast Track Program,Self-Paced Backend FastTrack,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sanjana
EdgeUp,300000107047,Europe/Dublin,EdgeUp Security Engineering LevelUp Program (with Agentic AI),"Applied Agentic AI for SWEs - Mid-May 2026",27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Manish
Fast Track Adv.ML,300000153757,America/Los_Angeles,Fast Track Advanced Machine Learning Program,Self-Paced Android FastTrack,27-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Pragya
Advanced ML,300000155203,America/Los_Angeles,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Pragya
AI/DS SwitchUp,300000155635,America/New_York,AI Data Science SwitchUp Program,AI Data Science SwitchUp - Early-June 2026,27-Apr-2026,FULL_PAYMENT_PAID,Refunded,Refunded,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Anjali
EdgeUp,300000155946,America/New_York,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-June 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
New ML,108246002,America/Los_Angeles,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sanjana
EdgeUp,202244352537,America/Los_Angeles,EdgeUp Data Engineering LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - 2nd Mid-May 2026,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Invalid,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Suraj
EdgeUp Step Up,216137024379,America/Chicago,EdgeUp Data Analyst & Business Analyst StepUp Program (with Agentic AI),Applied Agentic AI - Early-June 2026,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
EdgeUp Step Up,300000155479,America/New_York,EdgeUp Product Manager (Tech) StepUp Program (with Agentic AI),Applied Agentic AI - Early-May 2026,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
EdgeUp Step Up,300000156326,America/New_York,EdgeUp Technical Program Manager StepUp Program (with Agentic AI),Applied agentic ai - early-may 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Zeeshan
Advanced ML,9557636,America/New_York,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Anjali
EdgeUp,5147712901,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Incomplete OB ,Upfront Payment,Nishtha
EdgeUp Step Up,6435186585,America/Los_Angeles,EdgeUp Engineering Management StepUp Program (with Agentic AI),,29-Apr-2026,DEPOSIT_PAID,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Sudhanshu
Level Up,212881687128,America/Los_Angeles,Backend Engineering Interview Prep Program,Backend Interview Prep - Early-May 2026,29-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Arshia
EdgeUp,216529950563,America/Los_Angeles,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Applied Agentic AI for EM's - Early-June 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
EdgeUp,216884475704,America/New_York,EdgeUp Data Engineering LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - 2nd Mid-May 2026,28-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Arush
EdgeUp,300000154320,America/Los_Angeles,EdgeUp Backend LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp Step Up,300000155518,America/Chicago,EdgeUp Fullstack StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Early-May 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,Invalid,Invalid,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Archi
EdgeUp Step Up,300000156311,America/Los_Angeles,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - Early-July 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,PAYPAL,Onboarded,Upfront Payment,Sudhanshu
Agentic SkillUp,300000156577,America/Chicago,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-May 2026,28-Apr-2026,REFUNDED,REFUNDED,Refunded,STRIPE_CARD,Incomplete OB ,Upfront Payment,Safoora
Level Up,300000156656,America/New_York,Data Engineering Interview Prep Program,Data Engineering Interview Prep - Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Samarth
Level Up,9601996,America/Los_Angeles,Data Analyst & Business Analyst Interview Preparation Program,Data Analyst & Business Analyst Interview Prep - Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Kamal
Step Up,41040951,America/Los_Angeles,Backend Interview Prep Fast Track Program,Self-Paced Backend FastTrack,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Arshia
EdgeUp,450242751,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp,388687501,America/Los_Angeles,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
EdgeUp Step Up,135534478426,America/Chicago,EdgeUp 2026 Backend StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Archi
